Resultado do metodo de Runge-Kutta:
x = 0.00, y = [10.0, 5.0]
x = 0.10, y = [5.93350800153162, 8.25157971819494]
x = 0.20, y = [2.80590345827544, 9.31226358397954]
x = 0.30, y = [1.33613209607899, 8.38847427273759]
x = 0.40, y = [0.724111918041999, 6.85635920731825]
x = 0.50, y = [0.457080027803361, 5.37863981070836]
x = 0.60, y = [0.330613232570598, 4.14154959474735]
x = 0.70, y = [0.267152636226215, 3.16012274029507]
x = 0.80, y = [0.235435722068642, 2.40022347716901]
x = 0.90, y = [0.221800215786052, 1.81906403372201]
x = 1.00, y = [0.219852751262899, 1.37759621537535]
x = 1.10, y = [0.226485237752248, 1.04353102599790]
x = 1.20, y = [0.240214235663963, 0.791287540994775]
x = 1.30, y = [0.260437674075081, 0.601037316253533]
x = 1.40, y = [0.287082735933040, 0.457599497753925]
x = 1.50, y = [0.320433173878348, 0.349438300783359]
x = 1.60, y = [0.361044909996506, 0.267829648103682]
x = 1.70, y = [0.409708282219695, 0.206196655181116]
x = 1.80, y = [0.467436959267369, 0.159591673644335]
x = 1.90, y = [0.535473596450180, 0.124298040341905]
x = 2.00, y = [0.615307235420609, 0.0975265401617043]
x = 2.10, y = [0.708700005861691, 0.0771854403384263]
x = 2.20, y = [0.817722087436405, 0.0617070289892206]
x = 2.30, y = [0.944794704458489, 0.0499172447685821]
x = 2.40, y = [1.09274142679010, 0.0409380401598147]
x = 2.50, y = [1.26484836893183, 0.0341145920338963]
x = 2.60, y = [1.46493406827531, 0.0289614472534479]
x = 2.70, y = [1.69742988203562, 0.0251232827991225]
x = 2.80, y = [1.96747161160603, 0.0223473004462053]
x = 2.90, y = [2.28100259262184, 0.0204655296407261]
x = 3.00, y = [2.64488734989116, 0.0193867274996729]
x = 3.10, y = [3.06703239486939, 0.0190995995190952]
x = 3.20, y = [3.55650524543111, 0.0196926905113484]
x = 3.30, y = [4.12363055417372, 0.0214037803355516]
x = 3.40, y = [4.78001420708967, 0.0247286428223450]
x = 3.50, y = [5.53837863820535, 0.0306607441472740]
x = 3.60, y = [6.41191965484837, 0.0412429273575361]
x = 3.70, y = [7.41242281297370, 0.0609196259894670]
x = 3.80, y = [8.54499731649135, 0.100101327791785]
x = 3.90, y = [9.79300328237307, 0.185280552802977]
x = 4.00, y = [11.0731638742286, 0.389402882607938]
x = 4.10, y = [12.1028464306176, 0.921353373079518]
x = 4.20, y = [12.0923403553510, 2.31481866925358]
x = 4.30, y = [9.76318019092810, 5.22162701557755]
x = 4.40, y = [5.67844339567782, 8.39255217793945]
x = 4.50, y = [2.67177898679272, 9.28648642850211]
x = 4.60, y = [1.28096412725881, 8.29121048626434]
x = 4.70, y = [0.701374598016924, 6.75242802288471]
x = 4.80, y = [0.447057865368777, 5.28897746236545]
x = 4.90, y = [0.325985757070043, 4.06967942622766]
x = 5.00, y = [0.265095360718361, 3.10429214662249]
x = 5.10, y = [0.234771153723181, 2.35751252882080]
x = 5.20, y = [0.222001731772429, 1.78665847904676]
x = 5.30, y = [0.220675345516253, 1.35312627279395]
x = 5.40, y = [0.227817616057906, 1.02510602612133]
x = 5.50, y = [0.242015039464817, 0.777438116475168]
x = 5.60, y = [0.262706274351911, 0.590637784717932]
x = 5.70, y = [0.289845343800540, 0.449794783456721]
x = 5.80, y = [0.323736249175033, 0.343582358862013]
x = 5.90, y = [0.364952314477557, 0.263436090947655]
x = 6.00, y = [0.414300518888142, 0.202900182866129]
x = 6.10, y = [0.472811694007974, 0.157118399468613]
x = 6.20, y = [0.541747066399844, 0.122442877792885]
x = 6.30, y = [0.622616354869787, 0.0961360818523513]
x = 6.40, y = [0.717205091036253, 0.0761450558763055]
x = 6.50, y = [0.827610184508555, 0.0609311794468884]
x = 6.60, y = [0.956283543299973, 0.0493422393913316]
x = 6.70, y = [1.10608404703499, 0.0405166457751902]
x = 6.80, y = [1.28033847931925, 0.0338120532767851]
x = 6.90, y = [1.48291220534814, 0.0287525944183095]
x = 7.00, y = [1.71829042639910, 0.0249905032551540]
x = 7.10, y = [1.99167068944703, 0.0222792404311394]
x = 7.20, y = [2.30906681621780, 0.0204564921807043]
x = 7.30, y = [2.67742318923608, 0.0194368677054114]
x = 7.40, y = [3.10473562739547, 0.0192162485717296]
x = 7.50, y = [3.60016918521279, 0.0198935945457557]
x = 7.60, y = [4.17415010116295, 0.0217240347045727]
x = 7.70, y = [4.83837889063890, 0.0252354443736697]
x = 7.80, y = [5.60563832617128, 0.0314859834365621]
x = 7.90, y = [6.48908174182092, 0.0426595239112750]
x = 8.00, y = [7.50017015875712, 0.0635332348361032]
x = 8.10, y = [8.64290836068850, 0.105369247245477]
x = 8.20, y = [9.89730321022696, 0.197017692281169]
x = 8.30, y = [11.1700215811457, 0.418311812622501]
x = 8.40, y = [12.1496712225837, 0.997381540977435]
x = 8.50, y = [11.9883321675631, 2.50138408567796]
x = 8.60, y = [9.43728313614160, 5.52089840508963]
x = 8.70, y = [5.34818872335501, 8.56630038844036]
x = 8.80, y = [2.50271409570698, 9.24349172732713]
x = 8.90, y = [1.21133937298761, 8.16098706672331]
x = 9.00, y = [0.672324011397216, 6.61599020330645]
x = 9.10, y = [0.434036705258198, 5.17187442507499]
x = 9.20, y = [0.319843735484624, 3.97594760952351]
x = 9.30, y = [0.262268367525997, 3.03149234332628]
x = 9.40, y = [0.233757659391766, 2.30180270433667]
x = 9.50, y = [0.222123067126232, 1.74436724565169]
x = 9.60, y = [0.221612167155303, 1.32116925584885]
x = 9.70, y = [0.229422606002286, 1.00102388172542]
x = 9.80, y = [0.244231472640444, 0.759319466530448]
x = 9.90, y = [0.265530436302729, 0.577017914679268]
x = 10.00, y = [0.293308519316571, 0.439560651711059]
x = 10.10, y = [0.327896097149561, 0.335892638565127]
